,Name,Artist,Acousticness,Danceability,Speechiness,Energy,Liveness,Valence,Key,Mode,Tempo,Duration,Popularity
137,"Symphony No.25 In G Minor, K. 173dB (K.183): Menuetto & Trio",Wolfgang Amadeus Mozart,0.989,0.46,0.0493,0.0113,0.298,0.243,7.0,1.0,122.661,229613.0,24.0
138,"Eyes of the World - Live at Knickerbocker Arena, Albany, NY 3/25/90",Grateful Dead,0.655,0.537,0.0387,0.675,0.233,0.843,9.0,1.0,100.82,806467.0,17.0
139,In the Distance,Mindfulness Meditation Music Spa Maestro,0.903,0.187,0.0428,0.0113,0.114,0.128,0.0,1.0,140.329,144000.0,15.0
140,Did You Ever,Tammy Wynette,0.702,0.603,0.0318,0.253,0.107,0.781,5.0,1.0,74.07,126867.0,20.0
141,"Myrthen, Op.25: 1. Widmung (Arr. Clara Schumann)",Robert Schumann,0.994,0.247,0.0466,0.0274,0.0993,0.122,8.0,1.0,67.053,134160.0,1.0
142,El Último Viaje - En Vivo,Liran' Roll,0.181,0.22,0.0775,0.88,0.679,0.347,2.0,0.0,178.058,344693.0,29.0
143,"12 Etudes, Op.25: No.11 In A Minor ""Winter Wind""",Frédéric Chopin,0.969,0.327,0.0393,0.356,0.137,0.0733,0.0,1.0,117.626,222280.0,15.0
144,Los Pilares De La Carcel,Valentín Elizalde,0.557,0.805,0.0332,0.514,0.304,0.978,3.0,1.0,102.565,183253.0,23.0
145,Let Those Who Are in Favour with Their Stars (Sonnet 25),Poetaster,0.861,0.709,0.544,0.331,0.127,0.264,10.0,0.0,97.511,72399.0,22.0
146,"Mozart: Piano Concerto No. 27 in B-Flat Major, K. 595: III. Allegro",Wolfgang Amadeus Mozart,0.991,0.323,0.0469,0.0912,0.084,0.383,10.0,1.0,78.651,528747.0,28.0
147,"Althea - Live at Nationwide Arena, Columbus, OH 11/25/17",Dead & Company,0.229,0.513,0.03,0.435,0.824,0.762,9.0,1.0,79.421,756217.0,10.0
148,Ay Corazón,Patrulla 81,0.269,0.688,0.0624,0.519,0.0729,0.961,4.0,1.0,72.175,178133.0,19.0
149,"Space Dye Vest - Live at the Boston Opera House, Boston, MA, 3/25/2014",Dream Theater,0.101,0.455,0.0323,0.744,0.958,0.123,2.0,0.0,101.791,468347.0,23.0
150,Huepaje - En Vivo,Tropical Del Bravo,0.0747,0.479,0.0457,0.73,0.489,0.799,3.0,1.0,207.38,172539.0,26.0
151,Desert Rose,Sting,0.147,0.614,0.0301,0.669,0.101,0.154,0.0,0.0,111.972,290627.0,20.0
152,"Damage, Inc. (Live at the Aragon Ballroom, Chicago, IL - May 25th, 1986)",Metallica,0.0716,0.248,0.0976,0.988,0.881,0.177,4.0,0.0,97.749,265269.0,20.0
153,"12 Etudes, Op.25: No.7 in C Sharp Minor",Frédéric Chopin,0.985,0.106,0.0464,0.0191,0.11,0.0572,2.0,0.0,86.896,328933.0,26.0
154,Oh Shit,The Pharcyde,0.0771,0.784,0.223,0.828,0.346,0.629,2.0,1.0,103.539,262027.0,28.0
155,Me Emocionas,El Mimoso Luis Antonio López,0.157,0.64,0.031,0.591,0.0694,0.936,0.0,1.0,160.113,172875.0,29.0
